elapsed_sec,read_ok,read_fail,read_avail_pct,write_ok,write_fail,write_ok_pct
12,20,0,100.0,9,0,100.0
17,20,0,100.0,6,0,100.0
22,20,0,100.0,7,0,100.0
27,20,0,100.0,7,0,100.0
32,20,0,100.0,0,7,0.0
37,20,0,100.0,0,8,0.0
42,20,0,100.0,4,4,50.0
47,20,0,100.0,6,0,100.0
52,20,0,100.0,3,4,42.9
57,20,0,100.0,0,7,0.0
62,20,0,100.0,0,8,0.0
67,20,0,100.0,6,1,85.7
73,20,0,100.0,7,0,100.0
77,20,0,100.0,6,0,100.0
82,20,0,100.0,6,0,100.0
87,20,0,100.0,7,0,100.0
92,20,0,100.0,4,2,66.7
97,20,0,100.0,7,0,100.0
102,20,0,100.0,6,0,100.0
107,20,0,100.0,7,0,100.0
113,20,0,100.0,6,0,100.0
118,20,0,100.0,5,1,83.3
122,20,0,100.0,0,8,0.0
127,20,0,100.0,0,10,0.0
132,20,0,100.0,0,9,0.0
137,20,0,100.0,6,2,75.0
142,20,0,100.0,6,0,100.0
148,20,0,100.0,7,0,100.0
152,20,0,100.0,6,0,100.0
157,20,0,100.0,6,0,100.0
163,20,0,100.0,5,2,71.4
168,20,0,100.0,1,6,14.3
172,20,0,100.0,1,5,16.7
177,20,0,100.0,0,7,0.0
183,20,0,100.0,5,1,83.3
188,20,0,100.0,6,0,100.0
193,20,0,100.0,4,2,66.7
198,20,0,100.0,1,5,16.7
203,20,0,100.0,0,6,0.0
208,20,0,100.0,1,6,14.3
213,20,0,100.0,6,0,100.0
218,20,0,100.0,6,0,100.0
223,20,0,100.0,6,0,100.0
228,20,0,100.0,5,0,100.0
233,20,0,100.0,6,0,100.0
238,20,0,100.0,1,4,20.0
243,20,0,100.0,0,7,0.0
248,20,0,100.0,3,4,42.9
254,20,0,100.0,6,0,100.0
259,20,0,100.0,4,1,80.0
263,20,0,100.0,1,4,20.0
268,20,0,100.0,1,6,14.3
273,20,0,100.0,2,4,33.3
279,20,0,100.0,5,0,100.0
283,20,0,100.0,3,0,100.0
288,20,0,100.0,0,0,0.0
292,20,0,100.0,0,0,0.0
297,20,0,100.0,0,0,0.0
304,20,0,100.0,3,1,75.0
309,20,0,100.0,5,0,100.0
