elapsed_sec,read_ok,read_fail,read_avail_pct,write_ok,write_fail,write_ok_pct
13,20,0,100.0,9,0,100.0
18,20,0,100.0,6,0,100.0
23,20,0,100.0,7,0,100.0
28,20,0,100.0,6,0,100.0
33,20,0,100.0,3,5,37.5
38,20,0,100.0,6,0,100.0
43,20,0,100.0,6,0,100.0
49,20,0,100.0,7,0,100.0
54,20,0,100.0,5,0,100.0
59,20,0,100.0,5,0,100.0
63,20,0,100.0,0,0,0.0
69,20,0,100.0,0,0,0.0
73,20,0,100.0,0,0,0.0
79,20,0,100.0,2,1,66.7
84,20,0,100.0,6,0,100.0
89,20,0,100.0,6,0,100.0
94,20,0,100.0,3,2,60.0
99,20,0,100.0,2,5,28.6
104,20,0,100.0,6,0,100.0
109,20,0,100.0,5,0,100.0
114,20,0,100.0,6,0,100.0
119,20,0,100.0,5,0,100.0
124,20,0,100.0,5,0,100.0
129,20,0,100.0,5,0,100.0
134,20,0,100.0,5,1,83.3
139,20,0,100.0,2,4,33.3
144,20,0,100.0,6,0,100.0
149,20,0,100.0,6,0,100.0
154,20,0,100.0,5,0,100.0
159,20,0,100.0,6,0,100.0
164,20,0,100.0,5,0,100.0
178,20,0,100.0,11,7,61.1
181,20,0,100.0,3,0,100.0
184,20,0,100.0,3,0,100.0
189,20,0,100.0,6,0,100.0
194,20,0,100.0,5,0,100.0
199,20,0,100.0,2,4,33.3
203,20,0,100.0,3,3,50.0
209,20,0,100.0,7,0,100.0
215,20,0,100.0,5,0,100.0
219,20,0,100.0,5,0,100.0
225,20,0,100.0,5,0,100.0
229,20,0,100.0,1,5,16.7
234,20,0,100.0,2,4,33.3
240,20,0,100.0,6,0,100.0
245,20,0,100.0,6,0,100.0
249,20,0,100.0,2,2,50.0
253,20,0,100.0,3,3,50.0
258,20,0,100.0,6,0,100.0
264,20,0,100.0,7,0,100.0
269,20,0,100.0,6,0,100.0
275,20,0,100.0,6,0,100.0
280,20,0,100.0,6,0,100.0
285,20,0,100.0,5,0,100.0
289,20,0,100.0,1,4,20.0
294,20,0,100.0,3,3,50.0
300,20,0,100.0,5,0,100.0
306,20,0,100.0,5,0,100.0
310,20,0,100.0,5,0,100.0
