elapsed_sec,success,fail,availability_pct
0,20,0,100.0
6,20,0,100.0
12,20,0,100.0
18,20,0,100.0
24,20,0,100.0
30,20,0,100.0
36,20,0,100.0
42,20,0,100.0
47,20,0,100.0
53,20,0,100.0
59,20,0,100.0
65,20,0,100.0
71,20,0,100.0
77,20,0,100.0
83,20,0,100.0
89,20,0,100.0
94,20,0,100.0
100,20,0,100.0
106,20,0,100.0
112,20,0,100.0
118,20,0,100.0
124,20,0,100.0
130,20,0,100.0
136,20,0,100.0
142,20,0,100.0
148,20,0,100.0
154,20,0,100.0
160,20,0,100.0
165,20,0,100.0
171,20,0,100.0
177,20,0,100.0
183,20,0,100.0
189,20,0,100.0
195,20,0,100.0
201,20,0,100.0
