op,value_size_bytes,duration_ms,throughput_mbps,status
put,1048576,11,84.06,ok
get,1048576,2,385.41,ok
put,1048576,11,85.85,ok
get,1048576,2,371.39,ok
put,1048576,8,120.58,ok
get,1048576,2,487.76,ok
put,1048576,16,60.62,ok
get,1048576,3,303.73,ok
put,1048576,7,132.95,ok
get,1048576,1,661.95,ok
put,1048576,10,93.12,ok
get,1048576,3,330.73,ok
put,1048576,7,137.15,ok
get,1048576,2,380.74,ok
put,1048576,6,158.97,ok
get,1048576,2,474.17,ok
put,1048576,7,130.98,ok
get,1048576,1,519.79,ok
put,1048576,5,181.44,ok
get,1048576,2,466.97,ok
put,1048576,6,153.15,ok
get,1048576,2,375.38,ok
put,1048576,10,96.85,ok
get,1048576,2,454.21,ok
put,1048576,8,113.63,ok
get,1048576,2,385.17,ok
put,1048576,7,137.76,ok
get,1048576,2,356.57,ok
put,1048576,7,128.24,ok
get,1048576,3,325.94,ok
put,1048576,5,179.07,ok
get,1048576,1,650.52,ok
put,1048576,8,122.32,ok
get,1048576,2,442.95,ok
put,1048576,6,143.48,ok
get,1048576,1,630.94,ok
put,1048576,7,137.04,ok
get,1048576,2,418.78,ok
put,1048576,7,131.09,ok
get,1048576,2,463.79,ok
put,10485760,49,201.10,ok
get,10485760,18,539.21,ok
put,10485760,55,180.89,ok
get,10485760,18,533.22,ok
put,10485760,56,177.23,ok
get,10485760,15,652.05,ok
put,10485760,60,165.91,ok
get,10485760,16,603.39,ok
put,10485760,47,208.93,ok
get,10485760,18,551.72,ok
put,10485760,54,182.03,ok
get,10485760,24,407.68,ok
put,10485760,54,183.11,ok
get,10485760,13,739.01,ok
put,10485760,53,187.83,ok
get,10485760,9,1088.36,ok
put,10485760,46,214.32,ok
get,10485760,19,509.72,ok
put,10485760,44,226.62,ok
get,10485760,18,545.82,ok
put,10485760,57,174.97,ok
get,10485760,8,1146.65,ok
put,10485760,54,184.68,ok
get,10485760,10,953.24,ok
put,10485760,50,198.26,ok
get,10485760,10,939.77,ok
put,10485760,50,198.88,ok
get,10485760,10,916.47,ok
put,10485760,87,113.96,ok
get,10485760,22,451.20,ok
put,10485760,60,166.42,ok
get,10485760,7,1365.29,ok
put,10485760,61,162.80,ok
get,10485760,16,610.64,ok
put,10485760,81,122.52,ok
get,10485760,8,1236.86,ok
put,10485760,61,162.68,ok
get,10485760,15,633.00,ok
put,10485760,54,185.07,ok
get,10485760,10,982.52,ok
put,104857600,338,295.81,ok
get,104857600,73,1354.07,ok
put,104857600,197,507.33,ok
get,104857600,43,2279.14,ok
put,104857600,301,331.91,ok
get,104857600,41,2412.03,ok
put,104857600,237,420.82,ok
get,104857600,47,2087.71,ok
put,104857600,235,424.92,ok
get,104857600,36,2752.79,ok
put,104857600,318,314.27,ok
get,104857600,41,2393.74,ok
put,104857600,203,491.49,ok
get,104857600,57,1745.45,ok
put,104857600,267,373.22,ok
get,104857600,48,2075.82,ok
put,104857600,241,414.48,ok
get,104857600,43,2298.31,ok
put,104857600,282,353.87,ok
get,104857600,46,2170.33,ok
put,104857600,298,334.89,ok
get,104857600,46,2148.23,ok
put,104857600,203,491.71,ok
get,104857600,36,2750.65,ok
put,104857600,195,512.26,ok
get,104857600,36,2776.40,ok
put,104857600,185,538.74,ok
get,104857600,39,2515.61,ok
put,104857600,271,367.99,ok
get,104857600,33,2951.58,ok
put,104857600,204,488.31,ok
get,104857600,31,3190.93,ok
put,104857600,192,518.51,ok
get,104857600,41,2409.31,ok
put,104857600,236,423.36,ok
get,104857600,34,2887.52,ok
put,104857600,203,490.40,ok
get,104857600,37,2677.07,ok
put,104857600,154,646.21,ok
get,104857600,46,2141.77,ok
put,524288000,830,601.93,ok
get,524288000,452,1103.79,ok
put,524288000,762,655.38,ok
get,524288000,416,1200.84,ok
put,524288000,712,701.99,ok
get,524288000,440,1134.85,ok
put,524288000,784,637.09,ok
get,524288000,419,1190.62,ok
put,524288000,794,629.60,ok
get,524288000,355,1407.03,ok
put,524288000,752,664.39,ok
get,524288000,404,1235.38,ok
put,524288000,799,625.14,ok
get,524288000,547,913.25,ok
put,524288000,799,625.47,ok
get,524288000,388,1285.39,ok
put,524288000,728,686.18,ok
get,524288000,338,1478.90,ok
put,524288000,816,612.68,ok
get,524288000,316,1578.86,ok
put,524288000,813,614.42,ok
get,524288000,428,1168.03,ok
put,524288000,985,507.51,ok
get,524288000,234,2131.70,ok
put,524288000,809,617.82,ok
get,524288000,313,1595.86,ok
put,524288000,725,689.31,ok
get,524288000,390,1281.13,ok
put,524288000,835,598.27,ok
get,524288000,370,1350.76,ok
put,524288000,727,687.19,ok
get,524288000,437,1141.62,ok
put,524288000,713,700.37,ok
get,524288000,416,1199.39,ok
put,524288000,850,588.15,ok
get,524288000,408,1225.47,ok
put,524288000,849,588.71,ok
get,524288000,429,1164.32,ok
put,524288000,754,663.07,ok
get,524288000,330,1511.76,ok
